,Industry,businessOverview,cleanGeo,cleanName,des,description,symbol,divDate,assetType,lastPrice,52WkHigh,52WkLow,low52,marketCap,dividendPayDate,beta,currentRatio,divGrowthRate3Year,divYield,dividendAmount,dividendDate,dividendPayAmount,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,ltDebtToEquity,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeTTM,sharesOutstanding,shortIntDayToCover,shortIntToFloat,totalDebtToCapital,totalDebtToEquity,totalVolume,vol10DayAvg,vol1DayAvg,vol3MonthAvg,volatility
0,-,-,-,ProShares Ultrashort FTSE China 5,"The Fund seeks daily investment results that correspond to twice 2% the inverse opposite of the daily performance of the FTSEXinhua China 25 Index. The Fund seeks to invest 8% of its assets to investments that, in combination, have economic characteristics that are inverse to those of the Index.",ProShares Ultrashort FTSE China 5,FXP,2020-03-25 00:00:00.000,ETF,41.23,72.8,29.99,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13256,11809.0,0.0,0.0,0.2154
1,Software  IT Services,"Auto Trader Group PLC is a United Kingdom-based company that offers a digital automotive marketplace. The Companys platform offers consumers a selection of new and used car listings, enabling them to search from the marketplace. It also offers free car valuations and a variety of motoring services and advice to consumers. It offers a finance search tool, which allows consumers to search by monthly budget. The Company offers a range of products and services to its retailer customers. It offers data intelligence solutions, such as Retail Accelerator and Retail Check, enabling retailers to buy the right stock, at the right price. Its platform enables manufacturers to advertise to the car buying audience. The Company uses its data management platform DMP to develop targeted audience segments for advertising and give manufacturers a proposition to reach new car buyers.",Europe,AutoWeb,-,"AutoWeb, Inc. - Common Stock",AUTO,,EQUITY,0.3716,4.35,0.29,0.29,5.45044, ,2.06617,0.83677,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,21.40739,21.8313,4.35,0.0,0.0,0.0,0.0,0.0,0.0,1.09184,0.0,0.0,0.0,0.07652,0.83677,0.0,0.0,0.0,0.0,14051149.0,0.0,0.0,48.88912,95.65304,37024,294626.0,294630.0,4158220.0,0.0
2,Software  IT Services,"Forian Inc. is a provider of integrated operating environment solutions for the legal cannabis industry. It provides security, compliance, and technology services to the legal cannabis industry. The Companys technology service offers clients a technology platform, allowing clients to manage inventory and supply costs through Cannabase, as well as bespoke monitoring and transport solutions. BioTrackTHC, which provides seed-to-sale supply chain management software. BioTrackTHC has cannabis tracking and reporting capabilities to assist state and local governments with enforcing regulations, collecting taxes and preventing illegal cannabis diversion and inversion. Its Cannabase platform is a wholesale and marketing platform that enables licensed businesses to sell and market their wholesale product, while also providing a compliant pathway to safely market their brands to consumers in compliance with local regulations.",US,Forian,-,Forian Inc. - Common Stock,FORA,,EQUITY,4.24,12.56,2.56,2.56,141.0257, ,2.54102,3.74049,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,24.39697,0.0,73.2669,73.17363,12.56,0.0,141.0606,0.0,0.0,0.0,0.0,7.9122,0.0,0.0,0.0,5.96639,0.0,0.0,0.0,0.0,722.5122999999984,32626714.0,0.0,0.0,58.51666,141.0606,13098,18789.0,18790.0,1625180.0,0.4193
3,-,-,-,Procure Space ETF,"The Fund seeks investment results that correspond generally to the performance of the S-Network Space Index. The Fund uses a passive investment approach and invests in its Underlying Index which tracks a portfolio of companies engaged in space-related businesses, including those companies utilizing satellite technology.",Procure Space ETF,UFO,2022-06-28 00:00:00.000,ETF,21.11,32.12,19.37,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7776,6823.0,0.0,0.0,0.0
4,Renewable Energy,Fusion Fuel Green PLC is engaged in the development of technology for green hydrogen. The Company produces hydrogen using renewable energy. The Company has developed a direct coupled photo electrochemical hydrogen generator DC-PEHG that produces green hydrogen. The DC-PEHG uses solar energy to split water molecules into hydrogen and oxygen through its photon-electrochemical process. Its process is coupled with a solar concentration system that harnesses solar energy for electricity and heat. The Companys business lines include Technology and Projects. Technology is focused on creating and selling hydrogen generators that produces green hydrogen for client use and operation. Projects is focused on entering into green hydrogen purchase agreements for the output of hydrogen. Its product offerings include hydrogen generators and green hydrogen. It also offers operational and monitoring services of green hydrogen plants using fusion fuel hydrogen generators.,US,Fusion Fuel Green PLC,-,Fusion Fuel Green PLC - Ordinary Shares,HTOO,,EQUITY,7.78,13.98,4.48,4.48,110.2393, ,0.0,1.09363,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.98,0.0,0.0,0.0,0.0,0.0,0.0,13.70345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10998723.0,0.0,0.0,0.0,0.0,93535,94393.0,94390.0,865040.0,0.339
5,Software & IT Services,"Crexendo, Inc.( Crexendo) is a provider of cloud communications, Unified Communications as a Service (UCaaS), call center, collaboration services and other cloud business services. The Company operates through two segments: Cloud Telecommunications and Web Services. The Cloud Telecommunications services segment transmit calls using Internet Protocol (IP) or cloud technology, which converts voice signals into digital data packets for transmission over the Internet or cloud. Each of its calling plans provides several basic features typically offered by traditional telephone service providers, plus a range of features. The Cloud Telecommunications service offering includes hardware, software, and unified communication solutions for businesses using IP or cloud technology over any Internet connection. The Web Services segment allows businesses to host their Websites in its data center for a recurring monthly fee.",US,"CREXENDO, INC.",-,-,CXDO,2022-08-22 00:00:00.000,EQUITY,2.85,6.3,2.1,2.1,69.97991,2022-09-02 00:00:00.000,1.22665,1.1582,0.0,0.65,0.02,2022-08-22 00:00:00.000,0.005,0.65,0.0,0.0,22.64444,0.0,79.53877,79.67538,6.3,0.0,0.21098,0.0,0.0,0.0,0.0,1.06044,0.0,0.0,0.0,2.01034,1.13093,0.0,0.0,0.0,85.63353,22425207.0,0.0,0.0,3.0633,3.1601,17750,29072.0,29070.0,720070.0,0.4099
6,Software  IT Services,"PFSWEB, Inc. is a global provider of omni-channel commerce solutions, including a range of technology, infrastructure and professional services. The Companys service offerings include Website design, creation and integration, digital agency and marketing, e-commerce technologies, order management, customer care, logistics and fulfillment, financial management and professional consulting. It operates through two segments: PFSweb, and Business and Retail Connect. PFSweb is a global provider of various infrastructure, technology and digital agency solutions and operates as a service fee business. In the Business and Retail Connect segment, subsidiaries of the Company purchase inventory from clients and resell the inventory to client customers. Its solutions support direct-to-consumer DTC, business-to-business B2B and retail sales channels. It markets its solutions as PFSwebs End2End eCommerce solution.",US,PFSweb,-,"PFSweb, Inc. - Common Stock Status Alert: Delinquent",PFSW,,EQUITY,10.29,14.47,10.25,10.29,238.2029, ,1.46463,3.45759,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,6.53032,0.0,14.86369,15.89666,14.47,0.0,0.02759,0.0,0.0,0.0,0.0,1.21714,0.0,0.0,0.0,0.83108,3.45759,0.0,0.0,0.0,6.05932,22642865.0,0.0,0.0,0.07761,0.07767,32524,52230.0,52230.0,2905230.0,0.2146
7,Automobiles  Auto Parts,"China Automotive Systems, Inc., China Automotive is a holding company. The Company, through its subsidiary, Great Genesis Holdings Limited Genesis, owns interests in over eight Sino-joint ventures and over five subsidiaries in the Peoples Republic of China PRC, which manufacture power steering systems andor related products for various segments of the automobile industry. Genesis also owns interests in a Brazil-based trading company, which engages mainly in the import and sales of automotive parts in Brazil. Henglong USA Corporation HLUSA, which is a subsidiary of the Company, engages in marketing of automotive parts in North America, and provides after sales service and research and development support. The Companys geographical segments include the United States, China and other foreign countries. One of its subsidiaries, Shenyang Jinbei Henglong Automotive Steering System Co., Ltd., focuses on power steering parts for light duty vehicles.",US,China Automotive Systems,-,"China Automotive Systems, Inc. - Common Stock",CAAS,,EQUITY,4.09,4.31,2.2,2.2,107.3174, ,2.41263,1.43969,0.0,0.0,0.0, ,0.0,0.0,0.0,153.3634,194.6871,0.45423,17.86004,14.48223,4.31,0.0,0.15304,7.09416,1.97354,5.66211,1.35153,0.34351,2.97402,7.70535,0.050242,0.21018,1.11806,1.45057,4.47818,2.97326,0.0,30851776.0,0.0,0.0,27.26942,39.41468,511619,67830.0,67830.0,610330.0,0.2585
8,Semiconductors  Semiconductor Equipment,"QuickLogic Corporation is a fabless semiconductor company. The Company develops a full stack platform for artificial intelligence AI, voice and sensor processing. The platform is based on its embedded FPGA eFPGA, intellectual property IP, multi-core semiconductor system-on-chips SoCs, and AI software. The Companys products include EOS, QuickAI, SensiML Analytics Toolkit, ArcticLink III, PolarPro3, PolarPro II, PolarPro, and Eclipse II products, which together comprise a product category. Its products also include primarily FPGA families named pASIC3 and QuickRAM as well as programming hardware and design software. Its eFPGA IP product include ArcticPro. In addition to delivering its own semiconductor solutions, it has an IP business that licenses its eFPGA technology for use in other semiconductor companies SoCs. Its semiconductor solutions categories into Sensor Processing, Display and Visual Enhancement, and Smart Connectivity.",US,QuickLogic,-,QuickLogic Corporation - Common Stock,QUIK,,EQUITY,7.0,9.21,4.25,4.25,90.53091, ,1.6981,1.31416,0.0,0.0,0.0, ,0.0,0.0,0.0,45.14639,35.98533,0.0,60.08301,60.0784,9.21,0.0,0.0,0.0,0.0,0.0,0.0,8.969,0.0,0.0,0.0,6.22591,1.19431,0.0,0.0,0.0,66.83112,12395629.0,0.0,0.0,60.21678,151.3623,33229,56300.0,56300.0,1497860.0,0.3097
9,Media  Publishing,"Dolphin Entertainment, Inc. is an entertainment marketing and content development company. It provides strategic marketing and publicity services to various film studios, digital content providers, A-list celebrity talent, including actors, directors, producers, celebrity chefs, social media influencers and recording artists. It also provides strategic marketing publicity services and brand strategies for hotel and restaurant groups and consumer brands. It is operating through two segments: entertainment publicity and marketing segment, and content production segment. The entertainment publicity and marketing segment is composed of 42West, The Door, Viewpoint, Shore Fire, Be Social, and BHI, and provides clients with diversified services, including public relations, entertainment and hospitality content marketing. The content production segment is composed of Dolphin Entertainment and Dolphin Films and engages in the production and distribution of digital content and feature films.",US,Dolphin Entertainment,-,"Dolphin Entertainment, Inc. - Common Stock",DLPN,,EQUITY,3.85,15.25,3.0,3.0,39.24079, ,2.2601,1.17436,0.0,0.0,0.0, ,0.0,0.0,0.0,83.68876,87.46278,0.0,87.89752,88.76941,15.25,0.0,22.48839,0.0,0.0,0.0,0.0,1.41757,0.0,0.0,0.0,1.04012,0.0,0.0,0.0,0.0,53.37636,9993107.950000001,0.0,0.0,18.65623,22.93505,20412,41675.0,41680.0,609380.0,0.0
