Industry,businessOverview,cleanGeo,cleanName,des,description,symbol
-,-,-,ProShares Ultrashort FTSE China 5,"The Fund seeks daily investment results that correspond to twice 2% the inverse opposite of the daily performance of the FTSEXinhua China 25 Index. The Fund seeks to invest 8% of its assets to investments that, in combination, have economic characteristics that are inverse to those of the Index.",ProShares Ultrashort FTSE China 5,FXP
Software  IT Services,"Auto Trader Group PLC is a United Kingdom-based company that offers a digital automotive marketplace. The Companys platform offers consumers a selection of new and used car listings, enabling them to search from the marketplace. It also offers free car valuations and a variety of motoring services and advice to consumers. It offers a finance search tool, which allows consumers to search by monthly budget. The Company offers a range of products and services to its retailer customers. It offers data intelligence solutions, such as Retail Accelerator and Retail Check, enabling retailers to buy the right stock, at the right price. Its platform enables manufacturers to advertise to the car buying audience. The Company uses its data management platform DMP to develop targeted audience segments for advertising and give manufacturers a proposition to reach new car buyers.",Europe,AutoWeb,-,"AutoWeb, Inc. - Common Stock",AUTO
Software  IT Services,"Forian Inc. is a provider of integrated operating environment solutions for the legal cannabis industry. It provides security, compliance, and technology services to the legal cannabis industry. The Companys technology service offers clients a technology platform, allowing clients to manage inventory and supply costs through Cannabase, as well as bespoke monitoring and transport solutions. BioTrackTHC, which provides seed-to-sale supply chain management software. BioTrackTHC has cannabis tracking and reporting capabilities to assist state and local governments with enforcing regulations, collecting taxes and preventing illegal cannabis diversion and inversion. Its Cannabase platform is a wholesale and marketing platform that enables licensed businesses to sell and market their wholesale product, while also providing a compliant pathway to safely market their brands to consumers in compliance with local regulations.",US,Forian,-,Forian Inc. - Common Stock,FORA
-,-,-,Procure Space ETF,"The Fund seeks investment results that correspond generally to the performance of the S-Network Space Index. The Fund uses a passive investment approach and invests in its Underlying Index which tracks a portfolio of companies engaged in space-related businesses, including those companies utilizing satellite technology.",Procure Space ETF,UFO
Renewable Energy,Fusion Fuel Green PLC is engaged in the development of technology for green hydrogen. The Company produces hydrogen using renewable energy. The Company has developed a direct coupled photo electrochemical hydrogen generator DC-PEHG that produces green hydrogen. The DC-PEHG uses solar energy to split water molecules into hydrogen and oxygen through its photon-electrochemical process. Its process is coupled with a solar concentration system that harnesses solar energy for electricity and heat. The Companys business lines include Technology and Projects. Technology is focused on creating and selling hydrogen generators that produces green hydrogen for client use and operation. Projects is focused on entering into green hydrogen purchase agreements for the output of hydrogen. Its product offerings include hydrogen generators and green hydrogen. It also offers operational and monitoring services of green hydrogen plants using fusion fuel hydrogen generators.,US,Fusion Fuel Green PLC,-,Fusion Fuel Green PLC - Ordinary Shares,HTOO
Software & IT Services,"Crexendo, Inc.( Crexendo) is a provider of cloud communications, Unified Communications as a Service (UCaaS), call center, collaboration services and other cloud business services. The Company operates through two segments: Cloud Telecommunications and Web Services. The Cloud Telecommunications services segment transmit calls using Internet Protocol (IP) or cloud technology, which converts voice signals into digital data packets for transmission over the Internet or cloud. Each of its calling plans provides several basic features typically offered by traditional telephone service providers, plus a range of features. The Cloud Telecommunications service offering includes hardware, software, and unified communication solutions for businesses using IP or cloud technology over any Internet connection. The Web Services segment allows businesses to host their Websites in its data center for a recurring monthly fee.",US,"CREXENDO, INC.",-,-,CXDO
Software  IT Services,"PFSWEB, Inc. is a global provider of omni-channel commerce solutions, including a range of technology, infrastructure and professional services. The Companys service offerings include Website design, creation and integration, digital agency and marketing, e-commerce technologies, order management, customer care, logistics and fulfillment, financial management and professional consulting. It operates through two segments: PFSweb, and Business and Retail Connect. PFSweb is a global provider of various infrastructure, technology and digital agency solutions and operates as a service fee business. In the Business and Retail Connect segment, subsidiaries of the Company purchase inventory from clients and resell the inventory to client customers. Its solutions support direct-to-consumer DTC, business-to-business B2B and retail sales channels. It markets its solutions as PFSwebs End2End eCommerce solution.",US,PFSweb,-,"PFSweb, Inc. - Common Stock Status Alert: Delinquent",PFSW
Automobiles  Auto Parts,"China Automotive Systems, Inc., China Automotive is a holding company. The Company, through its subsidiary, Great Genesis Holdings Limited Genesis, owns interests in over eight Sino-joint ventures and over five subsidiaries in the Peoples Republic of China PRC, which manufacture power steering systems andor related products for various segments of the automobile industry. Genesis also owns interests in a Brazil-based trading company, which engages mainly in the import and sales of automotive parts in Brazil. Henglong USA Corporation HLUSA, which is a subsidiary of the Company, engages in marketing of automotive parts in North America, and provides after sales service and research and development support. The Companys geographical segments include the United States, China and other foreign countries. One of its subsidiaries, Shenyang Jinbei Henglong Automotive Steering System Co., Ltd., focuses on power steering parts for light duty vehicles.",US,China Automotive Systems,-,"China Automotive Systems, Inc. - Common Stock",CAAS
Semiconductors  Semiconductor Equipment,"QuickLogic Corporation is a fabless semiconductor company. The Company develops a full stack platform for artificial intelligence AI, voice and sensor processing. The platform is based on its embedded FPGA eFPGA, intellectual property IP, multi-core semiconductor system-on-chips SoCs, and AI software. The Companys products include EOS, QuickAI, SensiML Analytics Toolkit, ArcticLink III, PolarPro3, PolarPro II, PolarPro, and Eclipse II products, which together comprise a product category. Its products also include primarily FPGA families named pASIC3 and QuickRAM as well as programming hardware and design software. Its eFPGA IP product include ArcticPro. In addition to delivering its own semiconductor solutions, it has an IP business that licenses its eFPGA technology for use in other semiconductor companies SoCs. Its semiconductor solutions categories into Sensor Processing, Display and Visual Enhancement, and Smart Connectivity.",US,QuickLogic,-,QuickLogic Corporation - Common Stock,QUIK
Media  Publishing,"Dolphin Entertainment, Inc. is an entertainment marketing and content development company. It provides strategic marketing and publicity services to various film studios, digital content providers, A-list celebrity talent, including actors, directors, producers, celebrity chefs, social media influencers and recording artists. It also provides strategic marketing publicity services and brand strategies for hotel and restaurant groups and consumer brands. It is operating through two segments: entertainment publicity and marketing segment, and content production segment. The entertainment publicity and marketing segment is composed of 42West, The Door, Viewpoint, Shore Fire, Be Social, and BHI, and provides clients with diversified services, including public relations, entertainment and hospitality content marketing. The content production segment is composed of Dolphin Entertainment and Dolphin Films and engages in the production and distribution of digital content and feature films.",US,Dolphin Entertainment,-,"Dolphin Entertainment, Inc. - Common Stock",DLPN
Software  IT Services,"PowerFleet, Inc. is a provider of subscription-based wireless Internet-of-Things IoT and machine-to-machine M2M solutions for securing, controlling, tracking, and managing high-value enterprise assets, such as industrial trucks, trailers, containers, cargo, and light vehicles and heavy truck fleets. The Company focuses on four types of business solutions: PowerFleet for Logistics, PowerFleet for Industrial, PowerFleet for Vehicles and Vista. PowerFleet for Industrial solutions are designed to provide on-premise or in-facility asset and operator management, monitoring, and visibility for industrial trucks such as forklifts, man-lifts, tuggers and ground support equipment at airports. PowerFleet for Logistics solutions are designed to provide bumper-to-bumper asset management, monitoring, and visibility for over-the-road based assets and their associated cargo. PowerFleet for Vehicles solutions are designed both to enhance the vehicle fleet management process.",US,PowerFleet,-,"PowerFleet, Inc. - Common Stock",PWFL
Software  IT Services,"Yiren Digital Ltd. is engaged in online consumer finance marketplace business in China. The Company conducts its business in China, through Yi Ren Heng Ye Technology Development Beijing Co., Ltd. Heng Ye and its consolidated variable interest entity, Heng Cheng Technology Development Beijing Co., Ltd. Heng Cheng. Heng Cheng operates its Website, www.yirendai.com, and has an Internet content provider ICP license as an Internet information provider. Its online marketplace facilitates standard loan products, express loan products and vertical loan products to borrowers. Uses for these loan products include home remodels, durable good purchases, travel and continuing education. Its online marketplace provides investors with various investing tools, such as automated investing tool and self-directed investing tool. It maintains a secondary loan market on its marketplace where investors can transfer the loans they hold prior to maturity at the fair value of the remaining loans.",US,Yiren Digital Ltd,-,"Yiren Digital Ltd. American Depositary Shares, each representing two ordinary sh",YRD
Communications  Networking,"AudioCodes Ltd is an Israel-based vendor of voice networking and media processing solutions for the digital workplace. The Company enables enterprises and service providers to build and operate all IP voice networks in unified communications, contact centers, and hosted business services. The Company categorizes its products and services into two main business lines: network and technology. Network products consist of customer premises equipment CPE, gateways for the enterprise and service provider or carrier markets and of carrier-grade-oriented low- and mid-density media gateways for service providers and Enterprise Session Border Controls ESBCs. Complementing its media gateways and session border gateways as network products are its multi-service business routers MSBR, Internet Protocol IP phones, media servers, mobile VoIP solutions and value added application products. The Company offers a range of products, solutions and services worldwide.",US,AudioCodes Ltd,-,AudioCodes Ltd. - Ordinary Shares,AUDC
Software  IT Services,"HealthStream, Inc. HealthStream provides workforce and provider solutions for healthcare organizations. It operates in two segments: HealthStream Workforce Solutions and HealthStream Provider Solutions. Its products and services are organized into two segments: Workforce Solutions and Provider Solutions. Its products and services help healthcare organizations meet ongoing talent management, training, education, assessment, competency management, compliance, provider credentialing and privileging management, and provider enrollment needs. Its solutions are provided to a range of customers within the healthcare industry across the continuum of care. Delivered primarily as Software-as-a-Service, its solutions focus on challenges facing the healthcare workforce and healthcare organizations, including the need to manage, retain, engage and develop healthcare workforce talent manage ongoing medical staff credentialing and deliver patient experiences of care in healthcare organizations.",US,HealthStream,-,"HealthStream, Inc. - Common Stock",HSTM
"Computers, Phones  Household Electronics","DZS Inc., formerly DASAN Zhone Solutions, Inc., is a provider of ultra-broadband network access solutions and communications platforms deployed by advanced Tier one, two and three service providers and enterprise customers. Its solutions are deployed by over 12 customers in more than 12 countries worldwide. Its principal focus is centered on enabling its customers to connect everything and everyone to the Internet-cloud economy via ultra-broadband connectivity solutions. It offers Broadband Access, Ethernet Switching, Mobile FronthaulBackhaul, Enterprise Passive Optical LAN and Software Defined Network SDN services.",US,DZS,-,DZS Inc. - Common Stock,DZSI
Software  IT Services,"AppFolio, Inc. is a provider of industry-specific, cloud-based software solutions for small and medium-sized businesses SMBs in the property management and legal industries. The Companys mobile-optimized software solutions enable its customers to work at any time and from anywhere across multiple devices. Its property management software provides small and medium-sized property managers with an end-to-end solution to their business needs. The Companys legal software provides solo practitioners and small law firms with a streamlined practice and case management solution, allowing them to manage their practices and case load. It also offers Value services, such as its professionally designed Websites and electronic payment services. The Companys property manager customers include third-party managers and owner-operators, managing single- and multi-family residences, commercial property and student housing, as well as mixed real estate portfolios.",US,AppFolio,-,"AppFolio, Inc. - Class A Common Stock",APPF
