Company Name,Ticker,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil)
"Agilent Technologies","A","YES","1.26","1.43","6","5.68","7070.53222","1669.41198","8.37","6848","1588","3126","1254","1882","3778","Electronics - Testing Equipment","Computer and Technology","40815.73"
"Alcoa","AA","YES",".44",".63","2","2.09","10729.69921","2670.18505","2.46","12451","808","10212","-123","1507","5250","Metal Products - Distribution","Industrial Products","6984.36"
"Ares Acquisition Corp.","AAC","YES","","","","","","","","","20.98399","0","20.98399","20.98399",".09555","Alternative Energy - Other","Oils-Energy","743.37"
"Aadi Bioscience","AADI","YES","-.62","-.62","3","-2.4","24.033","5.76669","1258.57","15.22","-60.28301","1.335","-60.51301","-57.84501","180.029","Medical - Biomedical and Genetics","Medical","173.5"
"Arlington Asset Investment","AAIC","YES","","","",".29","","","69.54","43.28","31.055","0","5.426","-.429","212.39999","REIT and Equity Trust","Finance","77.42"
"American Airlines","AAL","YES","1.03",".79","8","2.42","53701.88281","13946.57128","63.88","48971","2148","37957","127","2626","15269","Transportation - Airline","Transportation","9145.96"
"Aaron's","AAN","YES",".2",".23","5",".91","2245.06005","548.41101","21.89","2249.43","-4.86801","1087.66101","-5.28001","656.80499","264.02301","Consumer Services - Miscellaneous","Consumer Discretionary","314.8"
"Applied Optoelectronics","AAOI","YES","-.14","-.09","3","-.48","243.83999","59.29999","5.32","222.82","-60.077","189.19099","-66.39701","-3.91101","183.164","Electronics - Semiconductors","Computer and Technology","62.17"
"AAON","AAON","YES","","","","2.68","","","66.28","888.79","124.53299","651.216","100.37599","135.84899","349.11599","Building Products - Air Conditioner and Heating","Construction","5020.13"
"Advance Auto Parts","AAP","YES","2.89","2.81","9","10.63","11433.45996","2735.19702","1.43","11154.72","699.747","6192.62207","501.872","1075.34802","6046.85205","Automotive - Retail and Wholesale - Parts","Retail-Wholesale","7153.75"
"Apple","AAPL","YES","1.24","1.43","10","6.05","390018.5","85179.20312","7.79","394328","119103","223546","99803","110907","135405","Computer - Mini computers","Computer and Technology","2605241.75"
"American Assets Trust","AAT","YES",".57",".6","1","2.23","440.66699","109.03099","12.46","422.65","114.109","107.64499","55.87699","169.425","144.61099","REIT and Equity Trust - Retail","Finance","1126.32"
"Almaden Minerals","AAU","YES","","","","","","","","","-1.87801","0","-9.11201","-4.4968","6.07","Mining - Gold","Basic Materials","26.07"
"AllianceBernstein","AB","YES",".64",".65","1","2.77","3434.10009","837","-8.72","4054.29","305.50399","0","274.165","299.635","0","Financial - Investment Management","Finance","3881.75"
"ABB","ABB","YES",".38",".38","2","1.62","30137.75781","7459.86279","1.73","29446","3524","19736","2475","3331","19570","Manufacturing - Electronics","Industrial Products","64875.88"
"AbbVie","ABBV","YES","2.84","2.81","6","10.98","52352.92968","13356.89941","3.3","58054","15521","17414","11836","33064","28463","Large Cap Pharmaceuticals","Medical","284997.13"
"AmerisourceBergen","ABC","YES","2.79","2.79","5","11.61","251600.25","62599.51953","11.5","238587","2393.72998","230290.59375","1698.81994","3120.07202","39589.76171","Medical - Dental Supplies","Medical","33645.65"
"Ameris Bancorp","ABCB","YES","1.24","1.21","4","4.93","1079.13","268.48498","10.26","1178.31","489.85299","56.10499","346.54","382.151","21159.78906","Banks - Southeast","Finance","2386.85"
"AbCellera Biologics","ABCL","YES","-.16","-.18","2","-.64","50.742","11.85299","29.38","485.42","243.14399","0","158.51899","191.621","1025.49096","Medical - Biomedical and Genetics","Medical","2082.85"
"Abcam","ABCM","YES","","","",".4","489.091","","11.58","447.49","-11.99801","112.805","-10.514","136.81799","315.90399","Medical - Instruments","Medical","2936.97"
"Ambev","ABEV","YES","","","",".17","16719.52929","","14.33","15438.08","4286.15478","7829.76123","2800.49511","4091.2561","7325.09521","Beverages - Alcohol","Consumer Staples","44693.52"
"Asbury Automotive Group","ABG","YES","7.58","7.11","4","30.41","14358.30566","3674.49707","56.88","15433.8","1479.69995","12333.2998","997.29998","925.70001","1909.80004","Automotive - Retail and Whole Sales","Retail-Wholesale","4199.53"
"ARCA biopharma","ABIO","YES","","","","","","","","","-9.926","0","-9.926","-9.81201","42.699","Medical - Biomedical and Genetics","Medical",""
"ABM Industries","ABM","YES",".86",".88","5","3.49","8152.00585","2012.45996","25.33","7806.6","351.1","6757.5","230.39999","354.70001","1561.19995","Building Products - Maintenance Service","Business Services","2898.09"
"Airbnb","ABNB","YES",".86","1.88","8","3.38","9648.93945","2432.18798","40.18","8399","2013","1499","1893","1974","14861","Internet - Content","Computer and Technology","70259.57"
"Acumen Pharmaceuticals","ABOS","YES","-.36","-.37","2","-1.39","","","","1.44","-42.856","0","-42.856","-42.20001","180.32899","Medical - Biomedical and Genetics","Medical","154.66"
"Arbor Realty Trust","ABR","YES",".47",".47","3","1.89","1313.91699","331.44299","103.48","948.4","371.311","721.578","325.78298","501.71099","16492.3496","REIT and Equity Trust","Finance","1969.01"
"Absci Corporation","ABSI","YES","-.23","-.22","3","-1.02","14.32299","2.9567","20.18","5.75","-104.393","0","-104.904","-91.867","186.863","Medical - Biomedical and Genetics","Medical","159.72"
"Absolute Software","ABST","YES",".12",".11","1",".34","232.1","60.4","63.36","197.31","15.861","12.62699","-24.48501","-24.48501","86.222","Security","Computer and Technology","437.53"
"Abbott Laboratories","ABT","YES","1.06","1.11","7","4.38","39735.1914","9834.91406","1.34","43653","8864","19142","6933","12733","25224","Medical - Products","Medical","182362.7"
"Arbutus Biopharma","ABUS","YES","-.15","-.15","2","-.57","21.113","4.59","255.11","39.02","-63.286","0","-69.45601","-68.029","151.139","Medical - Biomedical and Genetics","Medical","466.58"
"Arcosa","ACA","YES",".48",".72","1","1.92","2186.19995","561.70001","10.14","2242.8","347.20001","1820","245.8","260.89999","856.79998","Building Products - Miscellaneous","Construction","2842.55"
"ACADIA Pharmaceuticals","ACAD","YES","-.25","-.1","8","-.56","557.29797","138.751","6.83","517.23","-213.44401","10.166","-215.97501","-216.685","507.93701","Medical - Biomedical and Genetics","Medical","2976.92"
"Aurora Cannabis","ACB","YES","-.05","-.05","4","-.35","156.02499","48.65","-8.65","174.88","-1302.32801","158.11","-1357.09498","-313.784","588.71997","Medical - Products","Medical","225.95"
"Accolade","ACCD","YES","-.59","-.57","5","-2.09","409.62899","94.32299","81.98","310.02","-125.85801","169.01899","-123.12401","-45.28","409.13699","Technology Services","Business Services","988.44"
"Acco Brands","ACCO","YES",".3",".31","2","1.09","1895.36303","482.63","-3.84","1947.6","60.5","1395.30004","-13.2","183.1","882.29998","Office Supplies","Industrial Products","476.48"
"ProFrac Holding Corp.","ACDC","YES","1.05","1.25","3","5.02","3850.38305","952.91497","215.67","2425.6","411.29998","1438.69995","91.5","470.25399","865.40002","Alternative Energy - Other","Oils-Energy","2041.01"
"Accel Entertainment","ACEL","YES",".19",".19","3",".76","1072.55004","270.22","32","969.8","116.399","670.901","74.10199","128.764","299.212","Gaming","Consumer Discretionary","780"
"Acer Therapeutics","ACER","YES","-.29","-.23","2","-.64","10.345",".6","","1.26","-26.237","0","-26.237","-24.92301","3.51699","Medical - Drugs","Medical","20.6"
"Adicet Bio","ACET","YES","-.71","-.76","3","-3","141.5","35.38","156.83","24.99","-69.71","0","-69.79001","-67.12301","261.03799","Medical - Biomedical and Genetics","Medical","241.41"
"Arch Capital Group","ACGL","YES","1.68","1.07","4","6.1","12193.28515","3005.55493","3.94","9614.81","1618.75903","6767.09716","1476.93298","1987.32495","17041.48046","Insurance - Property and Casualty","Finance","25681.53"
"Aceragen, Inc.","ACGN","YES","","","","","","","","","98.09799","0","98.091","98.24299","34.03799","Medical - Biomedical and Genetics","Medical","9.28"
"Acadia Healthcare","ACHC","YES",".86",".87","4","3.3","2848.50292","711.367","12.79","2610.4","443.90301","0","273.139","396.37298","506.125","Medical - Hospital","Medical","6644.05"
"Archer Aviation","ACHR","YES","-.35","-.35","1","-1.41","","","","","-319.60001","0","-317.29999","-209.60001","545.5","Aerospace - Defense","Aerospace","635.72"
"Achieve Life Sciences","ACHV","YES","-.51","-.45","1","-1.94","","","","","-40.56101","0","-42.35","-42.114","27.32999","Medical - Drugs","Medical","126.59"
"Albertsons Companies","ACI","YES",".93",".7","4","3.1","79041.52343","23737.41796","3.15","71887","2581.3999","51164.60156","1619.59997","4086.19995","8366.40039","Consumer Products - Staples","Consumer Staples","11276.85"
"AC Immune","ACIU","YES","-.23",".06","2","-.78","55","5","","4.12","-73.756","0","-74.142","-71.67801","134.22999","Medical - Biomedical and Genetics","Medical","187.99"
"ACI Worldwide","ACIW","YES","","","","1.86","","","3.74","1421.9","259.828","696.07098","142.177","333.70199","1114.80505","Computer - Software","Computer and Technology","2817.39"
"Axcelis Technologies","ACLS","YES","1.15","1.28","1","5.55","982.40002","242.3","38.88","920","210.46099","518.208","183.07899","194.686","877.64501","Electronics - Manufacturing Machinery","Computer and Technology","4101.73"
"Arcellx","ACLX","YES","-.62","-.65","4",".86","195","34","","","-186.959","0","-188.67901","-126.38301","266.863","Medical - Biomedical and Genetics","Medical","1400.77"
"AECOM","ACM","YES",".98",".97","2","3.67","13661.26953","3414.54492","-1.44","13148.18","660.95599","12300.20996","310.61099","665.98602","5822.81005","Engineering - R and D Services","Construction","11153.54"
"ACM Research","ACMR","YES",".11",".36","1",".82","545.80999","121.359","49.69","388.83","69.01699","205.21699","39.263","60.214","963.80603","Semiconductor Equipment - Material Services","Computer and Technology","607.51"
"Accenture","ACN","YES","2.95","2.84","9","11.56","64092.35937","16386.9082","21.89","61594.3","9243.4873","41892.76953","6877.16894","8965.38476","21610.86914","Consulting Services","Business Services","177998.05"
"ACNB","ACNB","YES","","","","","","","7.94","108.86","46.01399","2.561","35.75199","41.70399","1689.03295","Banks - Southwest","Finance","259.45"
"Ascent Industries Co.","ACNT","YES","","","","","","","23.73","414.15","20.597","357.61401","22.06599","34.88199","170.375","Manufacturing - General Industrial ","Industrial Products","90.13"
"Acorda Therapeutics","ACOR","YES","","","","","","","-8.14","118.57","-5.047","30.332","-65.91601","-16.18401","82.11499","Medical - Biomedical and Genetics","Medical","13.14"
"ACRES Commercial Realty","ACR","YES",".53",".56","1","2.21","55.29999","13.8","50.11","75.17","10.762","7.03499","10.623","40.859","2166.84204","REIT and Equity Trust","Finance","81.21"
"Ares Commercial Real Estate","ACRE","YES",".39",".38","2","1.48","212.77","53.805","4.68","106.85","30.25699","0","29.78499","76.41899","141.27799","REIT and Equity Trust","Finance","498.56"
"Aclaris Therapeutics","ACRS","YES","-.45","-.43","6","-1.73","7.5467","1.85829","340.05","29.75","-86.908","11.96","-86.908","-86.11101","231.55","Medical - Drugs","Medical","608.24"
"AcelRx Pharmaceuticals","ACRX","YES","-.78","-.72","1","-2.79","3.29999",".075","-37.15","1.77","47.78499","2.591","47.755","54.303","24.56599","Medical - Drugs","Medical","6.71"
"Enact Holdings","ACT","YES",".79",".79","1","3.26","1165.01","285.64001","-2.04","1095.05","949.92102","132.72","704.15698","720.15502","594.40399","Insurance - Multi line","Finance","3719.03"
"Acacia Research","ACTG","YES","","","","","","","-32.74","59.22","-120.71801","37.388","-125.06501","-6.027","427.98498","Business - Services","Business Services","220.22"
"ACV Auctions","ACVA","YES","-.06","-.06","4","-.28","462.24499","119.757","17.6","421.53","-101.127","236.65299","-102.19301","-81.395","754.77398","Internet - Commerce","Retail-Wholesale","1937.35"
"","ACWI","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","18598.79"
"Acurx Pharmaceuticals","ACXP","YES","-.33","-.21","1","-1.1","","","","","-12.09301","0","-12.09301","-12.09301","9.37699","Medical - Biomedical and Genetics","Medical","40.03"
"Adaptimmune Therapeutics","ADAP","YES","-.12","-.1","1","-.63","30.7","7.69999","341.5","27.15","-162.959","0","-165.456","-159.381","255.36999","Medical - Biomedical and Genetics","Medical","167.03"
"Adobe","ADBE","YES","3.78","3.85","9","15.41","19214.45703","4762.60791","11.54","17606","6120","2165","4756","7313","8996","Computer - Software","Computer and Technology","174533.92"
"Agree Realty","ADC","YES",".98",".99","6","3.93","526.19201","128.876","26.67","429.81","216.47","52.28099","152.43699","323.40899","93.60399","REIT and Equity Trust - Retail","Finance","6029.81"
"ADC Therapeutics","ADCT","YES","-.32","-.74","2","-2.46","136.33999","41.44699","518.89","209.91","-117.737","4.57899","-155.80001","-153.47201","446.01501","Medical - Biomedical and Genetics","Medical","156.69"
"ADEIA INC","ADEA","YES",".35",".31","1","1.32","396.5","100.83","-49.99","438.93","155.10699","0","-295.88001","733.47601","258.71301","Technology Services","Business Services","848.16"
"Advanced Emissions Solutions","ADES","YES","-.1","-.05","1","-.27","100","20.89999","2.69","102.99","-8.372","80.46499","-8.917","-2.501","105.662","Pollution Control","Industrial Products","55.26"
"Analog Devices","ADI","YES","2.74","2.56","10","10.6","12651.72167","3197.958","64.16","12013.95","3299.15698","4481.479","2748.56103","7302.62109","4937.99218","Semiconductor - Analog and Mixed","Computer and Technology","94680.41"
